"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"10/25/2021","Netflix","NETFLIX.COM  866-579-7172","15.46","debit","Internet","AmEx Blue Cash","",""
"10/25/2021","Amazon","AMZN Mktp US","28.52","debit","Shopping","Amazon Chase","",""
"10/25/2021","CITI CARD ONLINE CO ENTRY DESCR:PAYMENT    SEC:WEB IND ID:430571556484290","ORIG CO NAME:CITI CARD ONLINE CO","2816.06","debit","Transfer","Chase Checking","",""
"10/25/2021","Amazon","Amazon.com","10.86","debit","Shopping","Amazon Chase","",""
"10/24/2021","HP Instant Ink","AUTH : HP *INSTANT INK","3.25","debit","Printing","Fidelity Visa","",""
"10/24/2021","Amazon","AMZN Mktp US","9.78","debit","Shopping","Amazon Chase","",""
"10/24/2021","Amazon","AMZN Mktp US","9.23","debit","Shopping","Amazon Chase","",""
"10/24/2021","Amazon","AMZN Mktp US","19.56","debit","Shopping","Amazon Chase","",""
"10/23/2021","AUTH : RIDWELL","AUTH : RIDWELL","16.00","debit","Parking","Fidelity Visa","",""
"10/23/2021","PAYMENT THANK YOU","PAYMENT THANK YOU","2816.06","credit","Transfer","Costco Visa","",""
"10/22/2021","AUTH : MIGHTY CODERS","AUTH : MIGHTY CODERS","239.00","debit","Kids Activities","Fidelity Visa","",""
"10/22/2021","REDSHELF ETEXTBOOKS,+13128788586,IL,606540000,840","REDSHELF ETEXTBOOKS,+13128788586,IL,606540000,840","414.42","debit","Books & Supplies","Alliant Visa","",""
"10/21/2021","Comcast","AUTH : COMCAST CABLE COMM","92.30","debit","Internet","Fidelity Visa","",""
"10/21/2021","Apple","APPLE.COM/BILL,866-712-7753,CA,950140000,840","10.77","debit","Gaming","Alliant Visa","",""
"10/21/2021","Arbat","ARBAT INTERNATIONAL FOOD,KIRKLAND,WA,980348204,840","58.75","debit","Groceries","Alliant Visa","",""
"10/20/2021","AUTH : WSDOT-GOODTOGO CSC","AUTH : WSDOT-GOODTOGO CSC","30.00","debit","Public Transportation","Fidelity Visa","",""
"10/24/2021","Amazon","Amazon.com*2Y5F97KA1","14.90","debit","Shopping","Amazon Chase","",""
"10/23/2021","Safeway","SAFEWAY #0533 0533  WOODINVILLE         WA","40.40","debit","Groceries","AmEx Blue Cash","",""
"10/22/2021","Hulu","HLU*Hulu 1032760686283 HULU.COM/","22.09","debit","Internet","Fidelity Visa","",""
