"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"9/09/2021","CORNERSTONE      CO ENTRY DESCR:1 TIME DFT SEC:WEB IND ID:0166363754     ","ORIG CO NAME:CORNERSTONE      CO","22000.00","debit","Mortgage & Rent","TOTAL CHECKING","",""
"9/09/2021","CITI CARD ONLINE CO ENTRY DESCR:PAYMENT    SEC:WEB IND ID:430532745302658","ORIG CO NAME:CITI CARD ONLINE CO","6915.24","debit","Credit Card Payment","TOTAL CHECKING","",""
"9/08/2021","Amazon Music","Amazon Music","4.34","debit","Music","CREDIT CARD","",""
"9/08/2021","Amazon","AMZN Mktp US*2G8YO4LA1","30.38","debit","Shopping","CREDIT CARD","",""
"9/08/2021","Chase card ending in 5822 09/08","Payment to Chase card ending in","54.00","debit","Credit Card Payment","TOTAL CHECKING","",""
"9/08/2021","Alliant CU Visa WEBSERVPMT 9097 00000833920 WEB ID: 989765489","Alliant CU Visa  WEBSERVPMT 9097","747.00","debit","Credit Card Payment","TOTAL CHECKING","",""
"9/08/2021","CARDMEMBER SERV WEB payment **** *******7538 WEB ID: 5911111111","CARDMEMBER SERV  WEB PYMT   ****","1300.00","debit","Credit Card Payment","TOTAL CHECKING","",""
"9/08/2021","Payment Thank You - Web","Payment Thank You - Web","54.00","credit","Credit Card Payment","CH FREEDOM","",""
"9/07/2021","Chips Via Citibank","CHIPS CREDIT VIA: CITIBANK N.A./","2100.00","credit","Income","TOTAL CHECKING","",""
"9/07/2021","Touchnet Web Ppd","TOUCHNET         WEB PYMT","2448.00","credit","Income","TOTAL CHECKING","",""
"9/07/2021","CENTRAL LOAN ADM LOAN PAYMT 0160 381182 WEB ID: 9DRAFTING","CENTRAL LOAN ADM LOAN PAYMT 0160","906.62","debit","Mortgage & Rent","TOTAL CHECKING","",""
"9/07/2021","DOMESTIC INCOMING WIRE FEE","DOMESTIC INCOMING WIRE FEE","15.00","debit","Fees & Charges","TOTAL CHECKING","",""
"9/03/2021","E*TRADE ACH TRNSFR PPD ID: 1391321258","E*TRADE          ACH TRNSFR","74400.01","credit","Transfer","TOTAL CHECKING","",""
"9/02/2021","Amazon","Amazon Tips*250I16691","7.00","debit","Shopping","CREDIT CARD","",""
"9/01/2021","Amazon","Amazon.com*252IV2BI1","100.17","debit","Shopping","CREDIT CARD","",""
"9/01/2021","Amazon","AMZN Mktp US*2572V0541","23.90","debit","Shopping","CREDIT CARD","",""
"9/01/2021","Audible.com","Audible*250HD9OP2","8.64","debit","Books","CREDIT CARD","",""
"9/01/2021","Amazon","AMZN Mktp US*251I225R0","15.21","debit","Shopping","CREDIT CARD","",""
"9/01/2021","Amazon","AMZN Mktp US*255TI0B70","21.73","debit","Shopping","CREDIT CARD","",""
"9/01/2021","CORNERSTONE LOAN PAYMT 0166 363754 WEB ID: 9DRAFTING","CORNERSTONE      LOAN PAYMT 0166","4091.58","debit","Mortgage & Rent","TOTAL CHECKING","",""
"9/01/2021","Online Transfer 12400428992 to A mex High Yield Savings Acct ########5387 transaction #: 12400428992","Online Transfer 12400428992 to A","100.00","debit","Transfer","TOTAL CHECKING","",""
"8/31/2021","Amazon","AMZN Mktp US*254HI0MF1","26.63","debit","Shopping","CREDIT CARD","",""
"8/31/2021","Woot LLC","AMZ*Woot LLC","55.98","debit","Clothing","CREDIT CARD","",""
"8/31/2021","109-SFDC GOVT PAYROLL PPD ID: 8359988345","109-SFDC GOVT    PAYROLL","6000.83","credit","Paycheck","TOTAL CHECKING","",""
"8/31/2021","REMOTE ONLINE DEPOSIT # 1 1","REMOTE ONLINE DEPOSIT #","20.58","credit","Transfer","TOTAL CHECKING","",""
"8/31/2021","Alliant CU Visa WEBSERVPMT 9097 00000833920 WEB ID: 989765489","Alliant CU Visa  WEBSERVPMT 9097","700.00","debit","Credit Card Payment","TOTAL CHECKING","",""
"8/31/2021","OOOTELEKANA","PAYPAL *OOOTELEKANA","54.00","debit","Charity","CH FREEDOM","",""
"8/30/2021","CITI CARD ONLINE PAYMENT 4205 22357285527 WEB ID: CITICTP","CITI CARD ONLINE PAYMENT    4205","1200.00","debit","Credit Card Payment","TOTAL CHECKING","",""
"8/30/2021","PayPal","PAYPAL           INST XFER  VEND","6.00","debit","Shopping","TOTAL CHECKING","",""
"8/30/2021","TJX","TJX Rewards MC   TJX EPAY   4651","60.47","debit","Clothing","TOTAL CHECKING","",""
"8/30/2021","PayPal","PAYPAL           INST XFER  GOOG","11.00","debit","Shopping","TOTAL CHECKING","",""
"8/29/2021","Amazon","Amazon.com*2D9U35RN2","25.17","debit","Shopping","CREDIT CARD","",""
"8/29/2021","Amazon","AMZN Mktp US*251H161R1","40.21","debit","Shopping","CREDIT CARD","",""
"8/29/2021","Amazon","AMZN Mktp US*2D7WQ19K2","24.22","debit","Shopping","CREDIT CARD","",""
"8/29/2021","Amazon","AMZN Mktp US*256VN2JK0","20.44","debit","Shopping","CREDIT CARD","",""
"8/27/2021","Amazon","Amazon.com*251W72AP1","14.90","debit","Shopping","CREDIT CARD","",""
"8/27/2021","Prime Video*251GL03D0","Prime Video*251GL03D0","3.25","debit","Movies & DVDs","CREDIT CARD","",""
"8/27/2021","Online Transfer 12468887372 to A lliant Checking #######6892 transaction #: 12468887372 08/27","Online Transfer 12468887372 to A","177.35","debit","Transfer","TOTAL CHECKING","",""
"8/27/2021","PayPal","PAYPAL           INST XFER  GOOG","14.30","debit","Shopping","TOTAL CHECKING","",""
"8/27/2021","salesforce.com, EDI PYMNTS 8888 88812584360 CCD ID: 1943320693","salesforce.com,  EDI PYMNTS 8888","143.13","credit","Income","TOTAL CHECKING","",""
"8/26/2021","Amazon","AMZN Mktp US*253OE8N21","70.40","debit","Shopping","CREDIT CARD","",""
"8/26/2021","Amazon","Amazon.com*259KH7NE1","16.29","debit","Shopping","CREDIT CARD","",""
"8/25/2021","Amazon","AMZN Mktp US*2D93H5Y30","26.08","debit","Shopping","CREDIT CARD","",""
"8/24/2021","Amazon","AMZN Mktp US*2D27W7502","16.24","debit","Shopping","CREDIT CARD","",""
"8/23/2021","Payment Thank You - Web","Payment Thank You - Web","600.00","credit","Credit Card Payment","CREDIT CARD","",""
"8/23/2021","Venmo","VENMO            PAYMENT    1015","20.00","debit","Transfer","TOTAL CHECKING","",""
"8/23/2021","REMOTE ONLINE DEPOSIT # 1 1","REMOTE ONLINE DEPOSIT #","4471.89","credit","Income","TOTAL CHECKING","",""
"8/23/2021","Chase card ending in 7738 08/23","Payment to Chase card ending in","600.00","debit","Credit Card Payment","TOTAL CHECKING","",""
"8/23/2021","REMOTE ONLINE DEPOSIT # 1 1","REMOTE ONLINE DEPOSIT #","34.22","credit","Transfer","TOTAL CHECKING","",""
"8/22/2021","Amazon","Amazon.com*2D89Q8RS1","21.90","debit","Shopping","CREDIT CARD","",""
"8/22/2021","Amazon","AMZN Mktp US*2D09L0R61","19.56","debit","Shopping","CREDIT CARD","",""
"8/22/2021","Julian Bakery In","AMZ*Julian Bakery In","35.99","debit","Restaurants","CREDIT CARD","",""
"8/20/2021","Amazon","Amazon.com*2D2939E32","8.94","debit","Shopping","CREDIT CARD","",""
"8/20/2021","Amazon","Amazon.com*2D08M02C1","12.99","debit","Shopping","CREDIT CARD","",""
"8/20/2021","Internal Revenue Service","IRS              USATAXPYMT 2221","10000.00","debit","Federal Tax","TOTAL CHECKING","",""
"8/19/2021","Amazon","AMZN Mktp US*2D5C43DR1","5.36","debit","Shopping","CREDIT CARD","",""
"8/19/2021","Amazon","AMZN Mktp US*2D3YS1HO0","18.47","debit","Shopping","CREDIT CARD","",""
"8/19/2021","Amazon","Amazon.com*2D28A8D41","80.42","debit","Shopping","CREDIT CARD","",""
"8/18/2021","Amazon","AMZN Mktp US*2D4TM4N92","14.55","debit","Shopping","CREDIT CARD","",""
"8/18/2021","ALLIANT CU XFER S002 49816890001 WEB ID: 0271081528","ALLIANT CU       XFER       S002","2000.00","debit","Transfer","TOTAL CHECKING","",""
"8/17/2021","Amazon","Amazon.com*2D23Q3PA0","30.35","debit","Shopping","CREDIT CARD","",""
"8/17/2021","Amazon","AMZN Mktp US*2D1RF35V1","43.47","debit","Shopping","CREDIT CARD","",""
"8/17/2021","Amazon","AMZN Mktp US*2D0HZ54E2","27.33","debit","Shopping","CREDIT CARD","",""
"8/17/2021","ATM CASH DEPOSIT 08/17 13425 NE 175TH ST WOODINVILLE WA","ATM CASH DEPOSIT 08/17 13425 NE","6600.00","credit","Income","TOTAL CHECKING","",""
